manuscript,plate,frag,side,label,publication,publication_number,image_identifier,image_url
4Q22,1159,44,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,6987ba1cf40bcd87fe0469827001c2a31e57e5866018bfd6887901fe8d05f161,https://iaa.iiifhosting.com/iiif/6987ba1cf40bcd87fe0469827001c2a31e57e5866018bfd6887901fe8d05f161
4Q22,1159,45,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,f6e0472fb1f3435497422c816807f23831d1f0dea86e0a4e514cc35469f34b5f,https://iaa.iiifhosting.com/iiif/f6e0472fb1f3435497422c816807f23831d1f0dea86e0a4e514cc35469f34b5f
4Q22,1159,45,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,45c6a4abd170e39b4dacc17b92191ed084e1ed2aa2715b593ddff427156ef482,https://iaa.iiifhosting.com/iiif/45c6a4abd170e39b4dacc17b92191ed084e1ed2aa2715b593ddff427156ef482
4Q22,1159,45,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,22e38f79f1010d71c584c51d1aef24058b8fbb1ef1e44f16948aff0e1f7e5513,https://iaa.iiifhosting.com/iiif/22e38f79f1010d71c584c51d1aef24058b8fbb1ef1e44f16948aff0e1f7e5513
4Q22,1159,45,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,3989b47968f66243bb48ecf0d60d6074e24bd17dfe863c11ac4a6724d9321aa5,https://iaa.iiifhosting.com/iiif/3989b47968f66243bb48ecf0d60d6074e24bd17dfe863c11ac4a6724d9321aa5
4Q22,1159,46,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,f604238f5a917b01782381ac7bfa77e82ad580a22689be770b3f1b68c35810ab,https://iaa.iiifhosting.com/iiif/f604238f5a917b01782381ac7bfa77e82ad580a22689be770b3f1b68c35810ab
4Q22,1159,46,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,bf84c32580cf1acee05dd4946ee51e07f7573a902111e54ee2ce712d4a389862,https://iaa.iiifhosting.com/iiif/bf84c32580cf1acee05dd4946ee51e07f7573a902111e54ee2ce712d4a389862
4Q22,1159,46,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,d037d4d5a7f4238607785dfc4044cc6a748fce55046ac899a10bbc336a48ef,https://iaa.iiifhosting.com/iiif/d037d4d5a7f4238607785dfc4044cc6a748fce55046ac899a10bbc336a48ef
4Q22,1159,46,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,8facd56bbc43fcedfbe2ae7cdb53375b7a5e78d7d25b6f748ce44c51f22889b4,https://iaa.iiifhosting.com/iiif/8facd56bbc43fcedfbe2ae7cdb53375b7a5e78d7d25b6f748ce44c51f22889b4
4Q22,1159,47,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,3bd1ca0bdab21e57dec7770e6642c6a06b18e7adc907eb83e2a233b2d3d0bb4f,https://iaa.iiifhosting.com/iiif/3bd1ca0bdab21e57dec7770e6642c6a06b18e7adc907eb83e2a233b2d3d0bb4f
4Q22,1159,47,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,1a0bd722f5c3cfe70fdbd7ecc4dba312e7f4c2679b14ac0630aca6bf4439ff5f,https://iaa.iiifhosting.com/iiif/1a0bd722f5c3cfe70fdbd7ecc4dba312e7f4c2679b14ac0630aca6bf4439ff5f
4Q22,1159,47,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,46d7ca7584ca7368eb4fbc19c7523a8a9fef79ee2c9a48e1157aff896c7e94bc,https://iaa.iiifhosting.com/iiif/46d7ca7584ca7368eb4fbc19c7523a8a9fef79ee2c9a48e1157aff896c7e94bc
4Q22,1159,47,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,bab6a40f705a47f01fec9918b102708b9214ffbaa6131c7e92bee20178d740b2,https://iaa.iiifhosting.com/iiif/bab6a40f705a47f01fec9918b102708b9214ffbaa6131c7e92bee20178d740b2
4Q22,1159,48,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,b0a9bbe28b770d0704af13959c174584992a9071a15071f99fd0a5c084e3e9d6,https://iaa.iiifhosting.com/iiif/b0a9bbe28b770d0704af13959c174584992a9071a15071f99fd0a5c084e3e9d6
4Q22,1159,48,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,baec7a464913cb181aa40b454f0f865c984b815662b42b7205fc3979f9cc804e,https://iaa.iiifhosting.com/iiif/baec7a464913cb181aa40b454f0f865c984b815662b42b7205fc3979f9cc804e
4Q22,1159,48,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,69b61bb81a5473c227557d0c5d2e337703a3e50a8c78ef37f0a97f5d64dc625b,https://iaa.iiifhosting.com/iiif/69b61bb81a5473c227557d0c5d2e337703a3e50a8c78ef37f0a97f5d64dc625b
4Q22,1159,48,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,cb50ab1f6d5532b2b8cef4def65f4698e8f2952ee137f0e2ccee7d33e3af7f6f,https://iaa.iiifhosting.com/iiif/cb50ab1f6d5532b2b8cef4def65f4698e8f2952ee137f0e2ccee7d33e3af7f6f
4Q22,1159,49,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,dba56fedca42e1447e365d65eb71834bd3b0e14b267eb7d4322ddcacd97f51ef,https://iaa.iiifhosting.com/iiif/dba56fedca42e1447e365d65eb71834bd3b0e14b267eb7d4322ddcacd97f51ef
4Q22,1159,49,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,380efd0b50a7ede97fd2218f4db4c677648e351f5a09f1bf06c4955194f66ff2,https://iaa.iiifhosting.com/iiif/380efd0b50a7ede97fd2218f4db4c677648e351f5a09f1bf06c4955194f66ff2
4Q22,1159,49,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,8df2c3f8952edf405dd344f97368f80e221b6495d863d38c763a4e3f8cb53dfc,https://iaa.iiifhosting.com/iiif/8df2c3f8952edf405dd344f97368f80e221b6495d863d38c763a4e3f8cb53dfc
4Q22,1159,49,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,fff8ae29e35ccba9e61c384e7694887d821d7eafb7748bcdebd7943079bec6d0,https://iaa.iiifhosting.com/iiif/fff8ae29e35ccba9e61c384e7694887d821d7eafb7748bcdebd7943079bec6d0
4Q22,1159,5,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,e657277714c8c824b3200e436b347ad5e69f8caaad41d2dc82fedcfdc2008913,https://iaa.iiifhosting.com/iiif/e657277714c8c824b3200e436b347ad5e69f8caaad41d2dc82fedcfdc2008913
4Q22,1159,5,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,23837e4908061b93da647ac953e056960b637bf5e1d200d16fc7081386009571,https://iaa.iiifhosting.com/iiif/23837e4908061b93da647ac953e056960b637bf5e1d200d16fc7081386009571
4Q22,1159,5,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,70eb232dc8a77962704f5d4ea41914c7962a4d25220f7024fb89ab948be7be57,https://iaa.iiifhosting.com/iiif/70eb232dc8a77962704f5d4ea41914c7962a4d25220f7024fb89ab948be7be57
4Q22,1159,5,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,a06c851c4f208d8dba32efa94e93ceda9cbe8b6e97da4b91a4a1f95f156d0157,https://iaa.iiifhosting.com/iiif/a06c851c4f208d8dba32efa94e93ceda9cbe8b6e97da4b91a4a1f95f156d0157
4Q22,1159,50,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,2c4b59da699986adf1055bf7c41e719fdc31affd1157d807aaae7ca54f6c9a0a,https://iaa.iiifhosting.com/iiif/2c4b59da699986adf1055bf7c41e719fdc31affd1157d807aaae7ca54f6c9a0a
4Q22,1159,50,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,6f6199c50f263748fa13fa54b2c9f9101c77955da3dc2fb072c9d8c748cf46eb,https://iaa.iiifhosting.com/iiif/6f6199c50f263748fa13fa54b2c9f9101c77955da3dc2fb072c9d8c748cf46eb
4Q22,1159,50,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,971a7d37aa76a46a8389bb5911a5d558f692377ecf32aee1b1bf61b0e20b797b,https://iaa.iiifhosting.com/iiif/971a7d37aa76a46a8389bb5911a5d558f692377ecf32aee1b1bf61b0e20b797b
4Q22,1159,50,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,7e2c8c80f4e2c53303de235cc632cc6891042d5f574b69c68124d2e95ba63252,https://iaa.iiifhosting.com/iiif/7e2c8c80f4e2c53303de235cc632cc6891042d5f574b69c68124d2e95ba63252
4Q22,1159,51,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,b8ff98c613b2858851c72740b9c96d905a477838fcce6b747348bd7756f9c29c,https://iaa.iiifhosting.com/iiif/b8ff98c613b2858851c72740b9c96d905a477838fcce6b747348bd7756f9c29c
4Q22,1159,51,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,240d3dae16e2a59497e523d4555b5cca67efef2d47fd150ff4adc1af5de11827,https://iaa.iiifhosting.com/iiif/240d3dae16e2a59497e523d4555b5cca67efef2d47fd150ff4adc1af5de11827
4Q22,1159,51,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,40a645991382d3b322d7bc08e219aee1e05e901f367bcb8cab1d08c56365cc35,https://iaa.iiifhosting.com/iiif/40a645991382d3b322d7bc08e219aee1e05e901f367bcb8cab1d08c56365cc35
4Q22,1159,51,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,a9251b7155ea1f7ffcfff74840d7074149c22a19ea00b16834a5068616f6fa0c,https://iaa.iiifhosting.com/iiif/a9251b7155ea1f7ffcfff74840d7074149c22a19ea00b16834a5068616f6fa0c
4Q22,1159,52,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,ca62fdd0d1c9ad9bd2d7f6ec204ee3661f691cd55e9b68818aff8b24fff7fcd4,https://iaa.iiifhosting.com/iiif/ca62fdd0d1c9ad9bd2d7f6ec204ee3661f691cd55e9b68818aff8b24fff7fcd4
4Q22,1159,52,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,7c7d63ed4303c69337fec3b5275478fc214a944d9c8dd5bba0dce5d8cf4f7585,https://iaa.iiifhosting.com/iiif/7c7d63ed4303c69337fec3b5275478fc214a944d9c8dd5bba0dce5d8cf4f7585
4Q22,1159,52,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,710623626ed3d2e81c639ebca16cf58357d9dde1d7c6f91b55dd0bdfd4ec7e11,https://iaa.iiifhosting.com/iiif/710623626ed3d2e81c639ebca16cf58357d9dde1d7c6f91b55dd0bdfd4ec7e11
4Q22,1159,52,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,7b5e5c7b483adc8a3c89e8380cf2d2faa2a6c3c25dadbd99957146e537f8204d,https://iaa.iiifhosting.com/iiif/7b5e5c7b483adc8a3c89e8380cf2d2faa2a6c3c25dadbd99957146e537f8204d
4Q22,1159,53,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,5252e909c9315d7edf80a7eafa9b822686137bc8aa00ec58f40b7349a03403bc,https://iaa.iiifhosting.com/iiif/5252e909c9315d7edf80a7eafa9b822686137bc8aa00ec58f40b7349a03403bc
4Q22,1159,53,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,ffabb86cafbc2d4ca4e3792b149c0bc65e3069db80b1dd849d898350d6f1e8f9,https://iaa.iiifhosting.com/iiif/ffabb86cafbc2d4ca4e3792b149c0bc65e3069db80b1dd849d898350d6f1e8f9
4Q22,1159,53,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,e405b3b76f203290ef8bc979db225b45c3b543604e95bd87642535a617d56363,https://iaa.iiifhosting.com/iiif/e405b3b76f203290ef8bc979db225b45c3b543604e95bd87642535a617d56363
4Q22,1159,53,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,3e030c20a9f348db9ad1b0727dbab086fae3ad2761c4884eec9be58e2588ed8c,https://iaa.iiifhosting.com/iiif/3e030c20a9f348db9ad1b0727dbab086fae3ad2761c4884eec9be58e2588ed8c
4Q22,1159,54,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,480bcdb2431ff84f712a3f3e8512da5b85f65dcf113cf4be78ec02e5cf2a888a,https://iaa.iiifhosting.com/iiif/480bcdb2431ff84f712a3f3e8512da5b85f65dcf113cf4be78ec02e5cf2a888a
4Q22,1159,54,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,473b6cb3022bfb55b5db4e1ddf26b24fa27d1180cd2ed6b51ec2609f6c42781c,https://iaa.iiifhosting.com/iiif/473b6cb3022bfb55b5db4e1ddf26b24fa27d1180cd2ed6b51ec2609f6c42781c
4Q22,1159,54,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,951e1ea46b7e2655d88fa319bddfdcd39696ff0a2d3a16216585049733951aec,https://iaa.iiifhosting.com/iiif/951e1ea46b7e2655d88fa319bddfdcd39696ff0a2d3a16216585049733951aec
4Q22,1159,54,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,816aa99706323224220c8a1dcf24e7a4b76933a2892ec8ed5e8531f746a358dd,https://iaa.iiifhosting.com/iiif/816aa99706323224220c8a1dcf24e7a4b76933a2892ec8ed5e8531f746a358dd
4Q22,1159,55,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,6733e0ea61101155a32ca3e795aace810fb54209a1453194eb5ca7c1b2945720,https://iaa.iiifhosting.com/iiif/6733e0ea61101155a32ca3e795aace810fb54209a1453194eb5ca7c1b2945720
4Q22,1159,55,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,93c12be27e1097b0adb2060aa77f92dea1f4c286ef72f6fc408b54d8b3f150f1,https://iaa.iiifhosting.com/iiif/93c12be27e1097b0adb2060aa77f92dea1f4c286ef72f6fc408b54d8b3f150f1
4Q22,1159,55,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,793e81d1bd6ea4e3ac9d8142da82590eca809143e48ac82327026ee9af09b433,https://iaa.iiifhosting.com/iiif/793e81d1bd6ea4e3ac9d8142da82590eca809143e48ac82327026ee9af09b433
4Q22,1159,55,verso,Near Infra-Red (NIR) -Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,15ed592c1d85889a28fa840b13e07f8995d2c0bfd971139a6f2604064144ca37,https://iaa.iiifhosting.com/iiif/15ed592c1d85889a28fa840b13e07f8995d2c0bfd971139a6f2604064144ca37
4Q22,1159,56,recto,Full Spectrum Color-Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,b2a1af3dd82d255cde4ceb73d59c47ca743625c14c86d3ca4c372258b3bff951,https://iaa.iiifhosting.com/iiif/b2a1af3dd82d255cde4ceb73d59c47ca743625c14c86d3ca4c372258b3bff951
4Q22,1159,56,recto,Near Infra-Red (NIR) -Recto,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,17cadb6ea58aa2461ecaa1ebf94a2fd201c6c68ec87832559c57a57425de8ed9,https://iaa.iiifhosting.com/iiif/17cadb6ea58aa2461ecaa1ebf94a2fd201c6c68ec87832559c57a57425de8ed9
4Q22,1159,56,verso,Full Spectrum Color-Verso,"Skehan, Ulrich, Sanderson 1992. DJD 9: 53-130.",$,5c2b0257f7d4ec6921747396d2a4b941f38f670f71df6e54053b93b1bc46e141,https://iaa.iiifhosting.com/iiif/5c2b0257f7d4ec6921747396d2a4b941f38f670f71df6e54053b93b1bc46e141
